OTU	season	day	mean	adj.mean	variance	std	Kingdom	Phylum	Class	Order	Family	Genus
Otu068	Summer	13	0.000038	0.000038	0	1.90E-05	Bacteria(100)	Firmicutes(100)	Bacilli(100)	Lactobacillales(100)	Streptococcaceae(100)	Lactococcus
Otu068	Spring	13	0.001015	0.001015	2.00E-06	0.000272	Bacteria(100)	Firmicutes(100)	Bacilli(100)	Lactobacillales(100)	Streptococcaceae(100)	Lactococcus
Otu071	Spring	13	0.000021	0.000021	0	2.10E-05	Bacteria(100)	Firmicutes(100)	Bacilli(100)	Lactobacillales(100)	Leuconostocaceae(100)	Weissella
Otu071	Summer	13	0.000189	0.000189	0	6.80E-05	Bacteria(100)	Firmicutes(100)	Bacilli(100)	Lactobacillales(100)	Leuconostocaceae(100)	Weissella
Otu076	Summer	13	0.000015	0.000015	0	1.50E-05	Bacteria(100)	Spirochaetes(100)	Spirochaetia(100)	Spirochaetales(100)	Spirochaetaceae(100)	Treponema
Otu076	Spring	13	0.000113	0.000113	0	5.20E-05	Bacteria(100)	Spirochaetes(100)	Spirochaetia(100)	Spirochaetales(100)	Spirochaetaceae(100)	Treponema
Otu081	Summer	13	0.00003	0.00003	0	1.80E-05	Bacteria(100)	Firmicutes(100)	Negativicutes(100)	Selenomonadales(100)	Acidaminococcaceae(100)	Succiniclasticum
Otu081	Spring	13	0.00031	0.00031	0	6.20E-05	Bacteria(100)	Firmicutes(100)	Negativicutes(100)	Selenomonadales(100)	Acidaminococcaceae(100)	Succiniclasticum
Otu086	Summer	13	0.000045	0.000045	0	2.30E-05	Bacteria(100)	Firmicutes(100)	Negativicutes(100)	Selenomonadales(100)	Veillonellaceae(100)	Allisonella
Otu086	Spring	13	0.000374	0.000374	0	0.000126	Bacteria(100)	Firmicutes(100)	Negativicutes(100)	Selenomonadales(100)	Veillonellaceae(100)	Allisonella
Otu096	Summer	13	0	0.00000008	0	0	Bacteria(100)	Firmicutes(100)	Clostridia(100)	Clostridiales(100)	Ruminococcaceae(100)	Subdoligranulum
Otu096	Spring	13	0.000071	0.000071	0	3.60E-05	Bacteria(100)	Firmicutes(100)	Clostridia(100)	Clostridiales(100)	Ruminococcaceae(100)	Subdoligranulum
Otu101	Summer	13	0.000008	0.000008	0	8.00E-06	Bacteria(100)	Firmicutes(100)	Clostridia(100)	Clostridiales(100)	Eubacteriaceae(100)	Pseudoramibacter
Otu101	Spring	13	0.000113	0.000113	0	4.90E-05	Bacteria(100)	Firmicutes(100)	Clostridia(100)	Clostridiales(100)	Eubacteriaceae(100)	Pseudoramibacter
Otu108	Summer	13	0	0.00000008	0	0	Bacteria(100)	Firmicutes(100)	Clostridia(100)	Clostridiales(100)	Ruminococcaceae(100)	Intestinimonas
Otu108	Spring	13	0.000071	0.000071	0	3.40E-05	Bacteria(100)	Firmicutes(100)	Clostridia(100)	Clostridiales(100)	Ruminococcaceae(100)	Intestinimonas
Otu114	Summer	13	0.000008	0.000008	0	8.00E-06	Bacteria(100)	Firmicutes(100)	Clostridia(100)	Clostridiales(100)	Lachnospiraceae(100)	Anaerostipes
Otu114	Spring	13	0.000092	0.000092	0	4.00E-05	Bacteria(100)	Firmicutes(100)	Clostridia(100)	Clostridiales(100)	Lachnospiraceae(100)	Anaerostipes
Otu123	Summer	13	0.00003	0.00003	0	1.40E-05	Bacteria(100)	Proteobacteria(100)	Gammaproteobacteria(100)	Aeromonadales(100)	Aeromonadaceae(100)	Aeromonas
Otu123	Spring	13	0.000127	0.000127	0	6.40E-05	Bacteria(100)	Proteobacteria(100)	Gammaproteobacteria(100)	Aeromonadales(100)	Aeromonadaceae(100)	Aeromonas
Otu140	Summer	13	0.000008	0.000008	0	8.00E-06	Bacteria(100)	Firmicutes(100)	Clostridia(100)	Clostridiales(100)	Lachnospiraceae(100)	Fusicatenibacter
Otu140	Spring	13	0.000141	0.000141	0	0.000114	Bacteria(100)	Firmicutes(100)	Clostridia(100)	Clostridiales(100)	Lachnospiraceae(100)	Fusicatenibacter
Otu176	Summer	13	0	0.00000008	0	0	Bacteria(100)	Firmicutes(100)	Bacilli(100)	Lactobacillales(100)	Carnobacteriaceae(100)	Alloiococcus
Otu176	Spring	13	0.000085	0.000085	0	7.80E-05	Bacteria(100)	Firmicutes(100)	Bacilli(100)	Lactobacillales(100)	Carnobacteriaceae(100)	Alloiococcus
Otu001	Spring	33	0.199934	0.199934	0.023978	0.029264	Bacteria(100)	Firmicutes(100)	Bacilli(100)	Lactobacillales(100)	Lactobacillaceae(100)	Lactobacillus
Otu001	Summer	33	0.353143	0.353143	0.043043	0.04326	Bacteria(100)	Firmicutes(100)	Bacilli(100)	Lactobacillales(100)	Lactobacillaceae(100)	Lactobacillus
Otu004	Summer	33	0.100311	0.100311	0.004676	0.014259	Bacteria(100)	Firmicutes(100)	Clostridia(100)	Clostridiales(100)	Peptostreptococcaceae(100)	Terrisporobacter
Otu004	Spring	33	0.21907	0.21907	0.023315	0.028856	Bacteria(100)	Firmicutes(100)	Clostridia(100)	Clostridiales(100)	Peptostreptococcaceae(100)	Terrisporobacter
Otu006	Spring	33	0.001015	0.001015	1.40E-05	0.000719	Bacteria(100)	Firmicutes(100)	Negativicutes(100)	Selenomonadales(100)	Veillonellaceae(100)	Veillonella
Otu006	Summer	33	0.019632	0.019632	0.000666	0.005381	Bacteria(100)	Firmicutes(100)	Negativicutes(100)	Selenomonadales(100)	Veillonellaceae(100)	Veillonella
Otu012	Summer	33	0.0004	0.0004	0	0.000117	Bacteria(100)	Proteobacteria(100)	Gammaproteobacteria(100)	Enterobacteriales(100)	Enterobacteriaceae(100)	Escherichia/Shigella
Otu012	Spring	33	0.001358	0.001358	2.00E-06	0.000266	Bacteria(100)	Proteobacteria(100)	Gammaproteobacteria(100)	Enterobacteriales(100)	Enterobacteriaceae(100)	Escherichia/Shigella
Otu017	Spring	33	0.000402	0.000402	3.00E-06	0.000306	Bacteria(100)	Actinobacteria(100)	Actinobacteria(100)	Coriobacteriales(100)	Coriobacteriaceae(100)	Olsenella
Otu017	Summer	33	0.00481	0.00481	5.70E-05	0.001576	Bacteria(100)	Actinobacteria(100)	Actinobacteria(100)	Coriobacteriales(100)	Coriobacteriaceae(100)	Olsenella
Otu019	Spring	33	0.00008	0.00008	0	6.60E-05	Bacteria(100)	Firmicutes(100)	Negativicutes(100)	Selenomonadales(100)	Veillonellaceae(100)	Mitsuokella
