label	Group	numOtus	Otu001	Otu002	Otu003	Otu004	Otu005	Otu006	Otu007	Otu008	Otu009	Otu010	Otu011	Otu012	Otu013	Otu014	Otu015	Otu016	Otu017	Otu018	Otu019	Otu020	Otu021	Otu022	Otu023	Otu024	Otu025	Otu026	Otu027	Otu028	Otu029	Otu030	Otu031	Otu032	Otu033	Otu034	Otu035	Otu036	Otu037	Otu038	Otu039	Otu040	Otu041	Otu042	Otu043	Otu044	Otu045	Otu046	Otu047	Otu048	Otu049	Otu050	Otu051	Otu052	Otu053	Otu054	Otu055	Otu056	Otu057	Otu058	Otu059	Otu060	Otu061	Otu062	Otu063	Otu064	Otu065	Otu066	Otu067	Otu068	Otu069	Otu070	Otu071	Otu072	Otu073	Otu074	Otu075	Otu076	Otu077	Otu078	Otu079	Otu080	Otu081	Otu082	Otu083	Otu084	Otu085	Otu086	Otu087	Otu088	Otu089	Otu090	Otu091	Otu092	Otu093	Otu094	Otu095	Otu096	Otu097	Otu098	Otu099	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139	Otu140	Otu141	Otu142	Otu143	Otu144	Otu145	Otu146	Otu147	Otu148	Otu149	Otu150	Otu151	Otu152	Otu153	Otu154	Otu155	Otu156	Otu157	Otu158	Otu159	Otu160	Otu161	Otu163	Otu164	Otu165	Otu166	Otu168	Otu169	Otu170	Otu171	Otu172	Otu173	Otu174	Otu175	Otu176	Otu177	Otu178	Otu179	Otu180	Otu181	Otu182	Otu183	Otu184	Otu185	Otu186	Otu187	Otu189	Otu190	Otu191	Otu192	Otu193	Otu194	Otu196	Otu197	Otu198	Otu199	Otu200	Otu202	Otu203	Otu204	Otu205	Otu208	Otu209	Otu210	Otu211	Otu213	Otu220	Otu221	Otu223	Otu224	Otu225	Otu227	Otu230	Otu231	Otu233	Otu234	Otu235	Otu236	Otu239	Otu240	Otu241	Otu242	Otu243	Otu244	Otu245	Otu249	Otu254	Otu257	Otu258	Otu260	Otu265	Otu269	Otu272	Otu279	Otu286	Otu287	Otu291	Otu294	Otu295	Otu296	Otu299	Otu300	Otu301	Otu302	Otu303	Otu305	Otu306
1	033389_JI30_S275	246	1412	116	87	75	20	249	0	788	1	5	924	0	3	22	2	0	195	0	189	383	0	2	0	0	0	0	0	0	0	0	0	83	1	0	0	0	1	0	0	0	0	0	0	1	235	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	6	75	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	033391_JI33_S277	246	3033	658	136	371	0	228	2	4	1	22	213	2	2	1	78	0	29	0	17	18	0	0	0	1	3	0	0	0	1	2	0	2	0	0	0	1	5	0	0	1	0	0	0	5	8	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	2	0	10	27	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	033393_JI35_S279	246	1639	887	839	582	21	293	4	7	2	3	50	9	2	3	285	3	48	0	29	44	1	2	0	3	5	1	1	0	0	2	0	1	8	0	0	2	4	1	0	2	0	0	0	0	84	0	0	3	0	0	2	0	0	1	0	0	1	0	0	0	0	0	1	0	0	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	033394_JI36_S280	246	1695	443	1083	313	87	287	6	18	0	4	99	0	0	15	51	1	59	1	44	121	0	0	0	8	8	0	0	0	0	0	5	6	2	0	0	0	1	3	0	0	2	0	0	7	501	3	0	4	0	0	2	0	0	1	0	1	0	0	0	0	0	0	0	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	033395_JI37_S281	246	1637	1311	385	733	54	178	4	3	1	5	44	0	1	0	89	5	43	4	15	81	3	3	0	7	26	0	0	0	0	2	0	10	1	1	0	2	0	1	0	1	0	1	0	2	213	1	0	0	0	0	2	2	0	0	0	0	0	2	0	1	0	0	0	0	0	8	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	033396_JI38_S282	246	2051	572	975	208	110	186	3	9	4	6	62	0	0	4	13	0	27	2	21	124	0	0	0	1	38	0	0	0	0	0	0	4	1	0	0	2	0	1	0	0	0	0	0	0	445	1	0	0	0	0	2	1	0	1	0	0	1	0	0	0	0	0	0	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	033397_JI40_S283	246	2028	428	671	594	109	264	4	14	2	11	64	0	0	3	50	0	57	2	31	93	2	1	0	7	16	1	0	0	0	0	2	7	1	0	0	1	0	1	0	0	0	0	0	3	399	3	0	0	0	0	1	0	0	5	0	2	0	1	0	0	0	1	0	0	0	4	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	033398_JI41_S284	246	1558	695	361	231	15	364	0	353	4	9	510	0	0	15	23	0	136	1	95	242	0	1	0	5	3	1	2	0	0	4	12	32	2	0	0	1	1	2	8	0	0	0	0	10	111	0	0	0	0	0	1	2	1	0	14	0	0	1	0	5	0	2	0	4	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	033399_JI44_S285	246	593	945	1195	589	418	28	1	17	9	6	9	1	1	44	150	14	2	8	0	3	0	0	0	18	6	2	4	0	0	1	5	5	16	0	0	9	6	0	1	0	0	5	0	0	367	0	0	0	0	1	0	6	1	0	0	0	0	2	2	332	0	0	0	23	0	0	0	0	0	0	10	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	4	0	0	0	4	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	033400_JI46_S286	246	1399	865	1594	694	9	23	0	33	1	1	26	1	1	0	155	7	5	2	1	7	3	0	0	5	11	0	0	0	1	0	0	2	7	0	0	2	0	2	1	8	0	0	0	0	5	0	0	0	0	0	0	5	1	0	2	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
