label	Group	nseqs	coverage	sobs	invsimpson	invsimpson_lci	invsimpson_hci	chao	chao_lci	chao_hci	ace	ace_lci	ace_hci	shannon	shannon_lci	shannon_hci
0.03	033434_JI85_S320	4890	0.994479	139	13.151597	12.470623	13.911238	157.473684	146.224748	186.237219	158.808877	148.452321	180.512725	3.303497	3.260588	3.346406
0.03	033435_JI86_S321	4890	0.99407	87	7.81729	7.564039	8.088086	106.333333	94.78984	134.982726	117.48133	100.856345	154.053139	2.495184	2.457799	2.53257
0.03	033436_JI87_S322	4890	0.995297	95	10.916544	10.579916	11.275298	109.055556	100.108966	133.66901	116.334437	104.693609	141.954464	2.820634	2.783864	2.857404
0.03	033437_JI88_S323	4890	0.996319	68	7.373075	7.087766	7.682316	89.857143	74.980852	136.435016	86.201537	75.172188	114.191753	2.544314	2.505979	2.58265
0.03	033438_JI89_S324	4890	0.993047	120	12.125201	11.607839	12.690832	146.714286	131.480472	182.162345	152.942243	136.948795	184.027644	3.043452	3.004754	3.08215
0.03	033439_JI90_S325	4890	0.994683	110	10.644596	10.26105	11.057929	129.117647	117.359333	159.662713	129.334404	118.91883	151.913477	2.905523	2.865291	2.945755
0.03	033440_JI91_S326	4890	0.997342	49	4.205378	4.098999	4.317425	55.5	50.752296	73.11123	60.280292	52.875514	81.833059	1.824549	1.787956	1.861142
0.03	033441_JI94_S327	4890	0.997342	41	5.986018	5.780716	6.206439	67	47.815969	140.178856	57.155471	46.272871	90.498502	2.166771	2.13519	2.198352
0.03	033442_JI95_S328	4890	0.996728	40	6.504938	6.37244	6.643063	80	51.318548	181.360886	81.979454	62.05932	119.887979	2.056218	2.030872	2.081564
0.03	033443_JI97_S329	4890	0.993047	65	4.183652	4.035031	4.343639	135.125	93.021641	240.489921	185.690191	137.864095	264.908091	1.898544	1.861502	1.935585
0.03	033444_JI98_S330	4890	0.992025	136	10.536666	10.055605	11.066067	173.05	152.698838	218.203475	177.789674	158.275057	214.400557	3.080021	3.035741	3.1243
0.03	033445_JI99_S331	4890	0.996933	42	3.99226	3.877798	4.113684	53.666667	45.454231	81.404169	60.610486	48.501275	95.274193	1.732722	1.699585	1.765859
0.03	033448_JI110_S334	4890	0.996933	44	5.487982	5.34061	5.643719	57.125	47.881489	88.381329	78.083428	60.530834	114.273529	2.010068	1.979149	2.040987
0.03	033449_JI101_S335	4890	0.996933	58	1.570877	1.532018	1.611758	65.5	60.18511	83.742407	68.384916	61.850889	86.00561	0.914227	0.870217	0.958237
0.03	033450_JI102_S336	4890	0.996524	63	3.17215	3.040855	3.315296	73.461538	66.289639	96.269235	78.185545	69.019704	101.307664	1.872013	1.827318	1.916709
0.03	033451_JI103_S337	4890	0.99591	49	4.787164	4.68766	4.890983	80.666667	59.396838	145.450264	100.59123	77.1358	143.600296	1.811324	1.780606	1.842041
0.03	033452_JI104_S338	4890	0.993252	64	5.866239	5.699484	6.043045	112	83.728085	180.787818	264.387498	201.509693	356.016865	2.088878	2.056666	2.121091
0.03	033453_JI105_S339	4890	0.996524	72	6.103374	5.928471	6.288912	85.6	76.291958	115.094551	82.967632	76.189916	100.709159	2.232912	2.194902	2.270921
0.03	033454_JI111_S340	4890	0.995501	54	2.459359	2.38532	2.538142	77.1	62.179768	119.235345	104.308017	81.42267	146.292129	1.365322	1.325148	1.405497
0.03	033455_JI107_S341	4890	0.996524	43	3.748033	3.659293	3.841184	65.666667	49.993642	116.463547	65.118133	51.111438	103.311353	1.625878	1.593118	1.658638
0.03	033456_JI108_S342	4890	0.99407	77	3.547838	3.422599	3.682589	127.75	96.405601	209.722637	144.902842	118.182307	188.960604	1.901861	1.855959	1.947764
0.03	033457_JI109_S343	4890	0.996933	37	4.575756	4.472831	4.68353	54.5	42.118074	96.836961	102.880864	74.235932	153.561825	1.760791	1.732077	1.789506
0.03	033460_JI100_S346	4890	0.998364	83	10.67947	10.331628	11.05155	85.333333	83.436286	95.479066	86.810737	84.063742	96.651545	2.855293	2.817113	2.893473
0.03	033461_JI106_S347	4890	0.997137	33	3.524531	3.437594	3.61598	48.166667	37.296923	86.533138	69.322121	50.306091	109.233071	1.470464	1.443917	1.49701
0.03	033462_JI112_S348	4890	0.99407	49	3.463129	3.390649	3.538775	150.5	84.141298	342.16646	221.977397	158.053558	323.371425	1.494296	1.462891	1.5257
0.03	033463_JI113_S349	4890	0.996933	36	4.258057	4.134222	4.38954	62.25	43.446642	128.533319	62.883224	44.582641	120.205747	1.761685	1.730839	1.792532
0.03	033464_JI114_S350	4890	0.99407	55	6.127842	5.938367	6.329806	258	120.29471	686.123102	240.555	179.429677	331.707767	2.176687	2.144393	2.208981
0.03	033465_JI115_S351	4890	0.996115	56	4.323891	4.181211	4.476653	71.545455	61.180347	102.649606	80.666655	66.08864	116.309803	1.917095	1.879909	1.954281
0.03	033466_JI117_S352	4890	0.999182	20	2.496137	2.434135	2.56138	22	20.249903	36.006186	25.676	21.53828	40.943503	1.229599	1.197433	1.261766
0.03	033467_JI118_S353	4890	0.997751	28	2.369573	2.323767	2.41722	46.333333	32.476624	103.081388	62.445844	44.338953	100.618861	1.128474	1.096392	1.160556
0.03	033468_JI120_S354	4890	0.999182	30	3.464675	3.337571	3.601844	31.2	30.138909	40.366469	32.840841	30.54947	44.687573	1.743199	1.706405	1.779992
0.03	033613_JI18_S499	4890	0.995297	103	7.347799	7.015623	7.712995	118.8125	108.762513	146.389952	118.546483	109.847924	138.294368	2.68821	2.644922	2.731498
0.03	033614_JI42_S500	4890	0.999182	42	2.931527	2.818275	3.054261	43	42.111496	50.968937	43.497714	42.250045	50.970986	1.717712	1.674652	1.760772
0.03	033615_JI54_S501	4890	0.997342	34	5.071265	4.946624	5.202349	49.6	38.229841	91.534077	77.367786	55.768279	120.399338	1.878749	1.850664	1.906833
0.03	033616_JI58_S502	4890	0.998569	31	1.800029	1.745806	1.857727	36.25	31.998395	58.606806	38.018436	32.758763	59.007437	1.188857	1.144285	1.233429
0.03	033617_JI83_S503	4890	0.998773	30	4.671388	4.493663	4.86375	37.5	31.32254	72.5318	34.112772	30.911458	48.558061	1.981206	1.948516	2.013896
0.03	033618_JI92_S504	4890	0.995706	59	3.27641	3.177475	3.381704	80	66.295428	119.448818	97.648092	79.822678	130.73309	1.665333	1.625211	1.705455
0.03	033619_JI93_S505	4890	0.998364	26	4.286557	4.158555	4.42269	40	28.920488	93.112081	34.647055	28.152964	60.729596	1.722863	1.695645	1.750081
0.03	033620_JI119_S506	4890	0.998364	28	5.135868	5.012234	5.265756	35	29.451873	61.749509	55.800317	40.725149	88.734662	1.885438	1.857903	1.912973
